id,salesperson_id,created_at,region,total
1,103,2023-05-03,Nordeste,"R$ 291,64"
2,140,2021-07-13,Centro-Oeste,"R$ 633,66"
3,114,2024-07-06,Centro-Oeste,"R$ 493,04"
4,97,2022-12-03,Centro-Oeste,"R$ 479,13"
5,96,2021-02-21,Sul,"R$ 843,02"
6,51,2023-05-11,Norte,"R$ 410,52"
7,106,2021-11-22,Norte,"R$ 657,12"
8,19,2021-03-14,Sudeste,"R$ 276,80"
9,38,2022-01-05,Sul,"R$ 943,68"
10,39,2024-10-04,Norte,"R$ 605,15"
11,106,2024-09-30,Centro-Oeste,"R$ 231,90"
12,32,2024-07-10,Centro-Oeste,"R$ 616,44"
13,106,2024-05-11,Nordeste,"R$ 825,66"
14,142,2020-11-20,Sudeste,"R$ 648,83"
15,20,2022-04-07,Nordeste,"R$ 256,96"
16,99,2022-12-22,Norte,"R$ 264,91"
17,16,2021-07-02,Centro-Oeste,"R$ 203,12"
18,91,2021-02-19,Norte,"R$ 322,13"
19,127,2020-10-15,Norte,"R$ 592,28"
20,83,2022-08-30,Nordeste,"R$ 224,90"
21,77,2022-05-26,Norte,"R$ 479,81"
22,141,2020-11-22,Centro-Oeste,"R$ 359,49"
23,134,2023-06-19,Centro-Oeste,"R$ 918,10"
24,10,2020-10-09,Sul,"R$ 682,69"
25,140,2022-11-06,Nordeste,"R$ 734,21"
26,20,2020-12-16,Norte,"R$ 421,33"
27,35,2020-11-30,Nordeste,"R$ 104,01"
28,65,2020-11-07,Nordeste,"R$ 470,56"
29,104,2023-08-16,Nordeste,"R$ 263,87"
30,51,2024-04-14,Sul,"R$ 601,91"
31,146,2020-03-10,Sudeste,"R$ 716,02"
32,37,2023-11-13,Norte,"R$ 536,11"
33,129,2020-03-30,Centro-Oeste,"R$ 364,29"
34,105,2022-09-29,Norte,"R$ 484,49"
35,148,2021-05-07,Norte,"R$ 747,00"
36,70,2020-12-30,Sul,"R$ 639,15"
37,129,2024-01-12,Nordeste,"R$ 724,43"
38,78,2024-01-24,Nordeste,"R$ 353,79"
39,25,2023-09-12,Sudeste,"R$ 717,26"
40,24,2022-10-10,Sudeste,"R$ 532,47"
41,137,2024-10-15,Nordeste,"R$ 186,32"
42,8,2021-10-28,Sudeste,"R$ 330,90"
43,117,2021-07-19,Sul,"R$ 455,65"
44,14,2022-09-28,Sul,"R$ 531,89"
45,144,2022-05-24,Norte,"R$ 677,59"
46,83,2020-06-01,Norte,"R$ 666,85"
47,74,2020-07-19,Centro-Oeste,"R$ 188,24"
48,73,2023-05-29,Sul,"R$ 681,13"
49,9,2022-05-19,Sul,"R$ 637,20"
50,84,2024-06-25,Nordeste,"R$ 303,36"
51,29,2024-02-29,Centro-Oeste,"R$ 458,14"
52,145,2022-08-26,Nordeste,"R$ 591,14"
53,12,2022-04-07,Norte,"R$ 1004,17"
54,38,2023-03-25,Nordeste,"R$ 605,41"
55,123,2021-06-22,Nordeste,"R$ 519,70"
56,76,2021-01-10,Centro-Oeste,"R$ 1016,70"
57,56,2021-06-11,Norte,"R$ 365,94"
58,48,2023-03-27,Sudeste,"R$ 388,74"
59,114,2024-08-28,Nordeste,"R$ 629,67"
60,1,2021-03-28,Centro-Oeste,"R$ 200,26"
61,85,2021-02-19,Sul,"R$ 738,66"
62,131,2022-01-21,Nordeste,"R$ 239,89"
63,116,2022-11-07,Nordeste,"R$ 667,98"
64,129,2022-09-12,Sul,"R$ 568,13"
65,7,2024-03-02,Norte,"R$ 195,86"
66,147,2023-06-05,Norte,"R$ 480,85"
67,28,2023-01-03,Nordeste,"R$ 450,84"
68,33,2022-02-25,Sul,"R$ 820,19"
69,5,2022-02-16,Norte,"R$ 173,12"
70,48,2021-06-04,Norte,"R$ 232,23"
71,78,2023-06-26,Norte,"R$ 440,12"
72,50,2021-01-03,Sul,"R$ 365,00"
73,98,2021-06-22,Nordeste,"R$ 697,71"
74,113,2022-04-16,Sul,"R$ 201,56"
75,60,2024-04-26,Centro-Oeste,"R$ 211,04"
76,72,2024-02-29,Sudeste,"R$ 121,33"
77,45,2024-01-26,Sul,"R$ 942,84"
78,131,2020-04-26,Norte,"R$ 558,71"
79,94,2024-02-18,Nordeste,"R$ 525,75"
80,29,2024-11-26,Centro-Oeste,"R$ 754,81"
81,114,2024-10-17,Nordeste,"R$ 597,28"
82,126,2021-07-24,Norte,"R$ 378,50"
83,91,2020-02-20,Sudeste,"R$ 1031,15"
84,92,2022-04-28,Centro-Oeste,"R$ 400,29"
85,148,2020-03-09,Nordeste,"R$ 376,51"
86,23,2021-03-26,Norte,"R$ 184,44"
87,83,2023-05-18,Sul,"R$ 169,55"
88,134,2024-06-16,Nordeste,"R$ 930,19"
89,70,2021-07-03,Nordeste,"R$ 712,37"
90,17,2020-01-27,Norte,"R$ 1248,56"
91,9,2024-03-12,Norte,"R$ 769,93"
92,90,2023-07-25,Sudeste,"R$ 507,74"
93,35,2022-01-12,Sudeste,"R$ 338,20"
94,64,2020-05-11,Norte,"R$ 905,70"
95,118,2023-07-22,Sul,"R$ 418,58"
96,53,2021-12-21,Nordeste,"R$ 417,27"
97,143,2022-09-30,Norte,"R$ 559,44"
98,81,2020-03-10,Centro-Oeste,"R$ 419,33"
99,121,2021-12-21,Nordeste,"R$ 532,46"
100,124,2023-06-03,Sul,"R$ 446,39"
101,116,2024-08-05,Sul,"R$ 342,64"
102,79,2023-08-03,Sudeste,"R$ 708,17"
103,42,2020-12-11,Norte,"R$ 1172,29"
104,97,2024-04-18,Norte,"R$ 379,19"
105,37,2020-11-08,Centro-Oeste,"R$ 666,88"
106,9,2020-12-09,Sudeste,"R$ 375,44"
107,22,2021-05-22,Sudeste,"R$ 415,62"
108,56,2023-06-19,Norte,"R$ 392,16"
109,46,2024-09-30,Nordeste,"R$ 597,20"
110,113,2023-02-21,Centro-Oeste,"R$ 76,63"
111,33,2024-04-06,Nordeste,"R$ 299,79"
112,37,2020-06-17,Norte,"R$ 394,45"
113,143,2021-09-24,Nordeste,"R$ 175,09"
114,1,2021-11-14,Centro-Oeste,"R$ 217,18"
115,82,2024-11-14,Sudeste,"R$ 618,98"
116,52,2021-02-09,Sul,"R$ 72,97"
117,75,2020-02-15,Nordeste,"R$ 480,99"
118,38,2022-03-30,Nordeste,"R$ 715,49"
119,101,2021-12-14,Nordeste,"R$ 563,75"
120,60,2022-08-26,Sudeste,"R$ 21,77"
121,53,2023-08-30,Norte,"R$ 286,15"
122,150,2023-04-15,Sul,"R$ 317,47"
123,25,2023-03-01,Sudeste,"R$ 490,59"
124,14,2023-05-19,Nordeste,"R$ 1103,52"
